,author,published_at,updated_at,like_count,text
139,ANKEY BOLTE,2023-08-25T09:08:47Z,2023-08-25T09:08:47Z,2,Space Underdog 🚫<br>Rising Space Superpower ✅
140,_MRK_,2023-08-25T09:05:54Z,2023-08-25T09:05:54Z,2,I always wonder what if ISRO had NASA&#39;s budget 😜
141,Golam Rabbani,2023-08-25T09:04:41Z,2023-08-25T09:04:41Z,1,Pythagoras made his theorem by trying 5 6 years 1000s of tries.....and I learnt that in one go........And for budget Space X is placing people in space not rover in less budget than isro.....isro is awesome but don&#39;t compare with others
142,Bharat Raj,2023-08-25T08:41:53Z,2023-08-25T08:41:53Z,0,NASA is way ahead of any other countries in SPACE exploration. Proud of my countries ISRO for the major milestone in this path.
143,let's life,2023-08-25T08:08:18Z,2023-08-25T08:08:18Z,0,Ii think it&#39;s like India was micromax  mobile and nasa where apple iphone. Both countries have their purpose and duties of both launch vehicle are different. We don&#39;t know what the datas are collected by NASA.
144,TheRealDeal,2023-08-25T07:53:12Z,2023-08-25T07:53:12Z,1,Are you serious to compare this ? Dont you know that 2 American dollars in India can actually feed a whole family household of 5 ?
145,Some Random Person,2023-08-25T07:26:31Z,2023-08-25T07:26:31Z,0,"I&#39;m surprised that after doing so much research about ISRO, you still pronounce it very different from the norm. Anyways, good video!"
146,Nearoooo,2023-08-25T07:11:05Z,2023-08-25T07:11:05Z,1,they just landed on the moon
147,Kibutsuji Muzan,2023-08-25T06:12:43Z,2023-08-25T06:12:43Z,2,Hey never challenge an Indian on saving money
148,Icy_Blockman Go,2023-08-25T05:47:30Z,2023-08-25T05:47:30Z,1,Proud to be an Indian
149,Karthik Kanigiri,2023-08-25T05:37:36Z,2023-08-25T05:37:36Z,1,It&#39;s not underdog you idiot we are one of the key players.
150,Priyanka Behera,2023-08-25T05:33:19Z,2023-08-25T05:33:19Z,4,Cause we are indians 😂 no one can beat us with budget control 😅
151,Mridhul ML,2023-08-25T05:17:38Z,2023-08-25T05:17:38Z,0,isn&#39;t the value of Indian rupee lower than the dollar? In that sense isn&#39;t it obvious that the figures would be drastically different if shown in dollars??
152,dwmcever,2023-08-25T04:42:17Z,2023-08-25T04:42:17Z,0,Hmm. Russian bullcrap
153,Ten Minute Tokyo 2,2023-08-25T04:39:41Z,2023-08-25T04:39:41Z,0,Also sending people into space is massively more expensive than sending robots.
154,Ten Minute Tokyo 2,2023-08-25T04:37:54Z,2023-08-25T04:37:54Z,0,Easy to be budget when USA already paid for all the R+D. Exchange rate also means India can buy a lot more.
155,joe gonzalez,2023-08-25T04:19:38Z,2023-08-25T04:19:38Z,1,nasa is overpaid. i also think my space program will cost less to run than nasa
